Date,Open,High,Low,Close,Volume,Adj Close
2017-01-05,84.699997,88.419998,84.699997,87.93,000,87.93
2017-01-04,83.040001,83.459999,81.839996,83.389999,000,83.389999
2017-01-03,79.459999,82.099998,79.449997,82.010002,000,82.010002
2016-12-30,82.629997,84.150002,78.830002,78.860001,000,78.860001
2016-12-29,78.160004,82.099998,78.110001,82.040001,000,82.040001
2016-12-28,75.879997,77.419998,75.529999,77.300003,000,77.300003
2016-12-27,75.300003,76.25,74.779999,76.00,000,76.00
2016-12-23,73.199997,74.580002,73.160004,74.230003,000,74.230003
2016-12-22,73.209999,74.629997,72.839996,73.029999,000,73.029999
2016-12-21,74.040001,74.25,73.050003,73.650002,000,73.650002
2016-12-20,72.139999,73.889999,71.629997,73.809998,000,73.809998
2016-12-19,73.410004,74.32,72.989998,73.529999,000,73.529999
2016-12-16,74.220001,75.239998,72.830002,73.410004,000,73.410004
2016-12-15,75.900002,75.949997,72.660004,73.709999,000,73.709999
2016-12-14,81.769997,82.449997,76.949997,77.019997,000,77.019997
2016-12-13,80.269997,81.349998,79.540001,81.190002,000,81.190002
2016-12-12,80.809998,81.449997,79.82,80.260002,000,80.260002
2016-12-09,82.290001,82.849998,79.620003,80.080002,000,80.080002
2016-12-08,82.669998,83.029999,81.68,82.57,000,82.57
2016-12-07,83.139999,84.00,81.769997,82.57,000,82.57
2016-12-06,82.629997,84.00,81.709999,82.150002,000,82.150002
2016-12-05,81.059998,83.760002,80.110001,82.790001,000,82.790001
2016-12-02,80.010002,82.809998,79.889999,82.300003,000,82.300003
2016-12-01,79.410004,81.209999,78.169998,79.309998,000,79.309998
2016-11-30,80.120003,80.599998,78.82,79.879997,000,79.879997
2016-11-29,80.330002,81.419998,79.589996,80.879997,000,80.879997
2016-11-28,79.949997,81.779999,79.32,81.690002,000,81.690002
2016-11-25,79.379997,80.019997,78.769997,79.129997,000,79.129997
2016-11-23,80.769997,80.800003,77.360001,78.919998,000,78.919998
2016-11-22,81.510002,82.169998,79.620003,81.980003,000,81.980003
2016-11-21,80.279999,81.989998,80.269997,81.080002,000,81.080002
2016-11-18,78.989998,80.089996,78.169998,79.309998,000,79.309998
2016-11-17,81.839996,83.209999,78.660004,79.849998,000,79.849998
2016-11-16,81.940002,82.120003,79.870003,81.50,000,81.50
2016-11-15,78.910004,82.629997,78.209999,82.400002,000,82.400002
2016-11-14,77.220001,80.449997,75.540001,78.830002,000,78.830002
2016-11-11,83.580002,83.919998,77.510002,78.050003,000,78.050003
2016-11-10,89.470001,89.57,83.32,83.82,000,83.82
2016-11-09,88.110001,92.360001,87.989998,89.830002,000,89.830002
2016-11-08,87.099998,89.269997,85.760002,87.190002,000,87.190002
2016-11-07,87.610001,87.809998,85.339996,86.720001,000,86.720001
2016-11-04,89.230003,89.68,87.980003,89.120003,000,89.120003
2016-11-03,87.650002,90.160004,87.230003,89.330002,000,89.330002
2016-11-02,90.480003,92.160004,87.010002,87.720001,000,87.720001
2016-11-01,88.709999,90.610001,88.330002,89.309998,000,89.309998
2016-10-31,85.080002,86.989998,84.209999,86.949997,000,86.949997
2016-10-28,83.989998,86.169998,83.550003,84.769997,000,84.769997
2016-10-27,85.900002,86.349998,83.419998,84.260002,000,84.260002
2016-10-26,86.919998,87.510002,84.449997,85.43,000,85.43
2016-10-25,85.690002,88.209999,85.650002,87.309998,000,87.309998
2016-10-24,87.360001,87.669998,84.099998,85.169998,000,85.169998
2016-10-21,86.989998,87.449997,86.309998,86.870003,000,86.870003
2016-10-20,87.540001,87.610001,85.720001,87.470001,000,87.470001
2016-10-19,86.300003,88.139999,85.57,87.589996,000,87.589996
2016-10-18,83.440002,85.440002,82.959999,85.339996,000,85.339996
2016-10-17,81.260002,82.879997,81.239998,82.230003,000,82.230003
2016-10-14,82.089996,83.349998,80.720001,81.029999,000,81.029999
2016-10-13,82.160004,84.830002,80.769997,82.589996,000,82.589996
2016-10-12,80.440002,82.82,80.260002,81.93,000,81.93
2016-10-11,81.589996,81.940002,79.879997,80.169998,000,80.169998
2016-10-10,82.029999,82.849998,81.50,81.93,000,81.93
2016-10-07,82.559998,84.230003,80.080002,81.32,000,81.32
2016-10-06,82.610001,82.809998,80.650002,81.440002,000,81.440002
2016-10-05,84.209999,84.970001,81.849998,83.879997,000,83.879997
2016-10-04,90.730003,90.730003,83.230003,83.419998,000,83.419998
2016-10-03,93.910004,94.730003,91.190002,92.07,000,92.07
2016-09-30,96.269997,97.019997,93.949997,94.00,000,94.00
2016-09-29,95.080002,96.00,93.589996,95.010002,000,95.010002
2016-09-28,93.150002,96.169998,91.639999,95.669998,000,95.669998
2016-09-27,93.529999,93.809998,91.730003,92.980003,000,92.980003
2016-09-26,96.129997,97.279999,94.440002,94.449997,000,94.449997
2016-09-23,98.260002,98.970001,95.18,95.760002,000,95.760002
2016-09-22,100.360001,101.760002,97.620003,98.779999,000,98.779999
2016-09-21,93.629997,99.459999,93.629997,99.199997,000,99.199997
2016-09-20,92.330002,93.059998,91.470001,92.43,000,92.43
2016-09-19,92.370003,93.370003,91.730003,92.279999,000,92.279999
2016-09-16,91.919998,93.309998,90.300003,91.50,000,91.50
2016-09-15,92.029999,94.110001,90.339996,92.709999,000,92.709999
2016-09-14,93.110001,94.379997,91.400002,92.279999,000,92.279999
2016-09-13,95.629997,95.629997,91.050003,92.239998,000,92.239998
2016-09-12,91.779999,97.330002,91.480003,96.75,000,96.75
2016-09-09,98.010002,98.010002,92.889999,93.459999,000,93.459999
2016-09-08,100.860001,101.730003,98.690002,99.279999,000,99.279999
2016-09-07,101.150002,101.349998,98.440002,101.080002,000,101.080002
2016-09-06,98.010002,101.57,97.900002,101.550003,000,101.550003
2016-09-02,95.110001,97.190002,94.50,96.629997,000,96.629997
2016-09-01,89.669998,93.470001,89.029999,93.32,000,93.32
2016-08-31,90.510002,91.50,89.839996,90.169998,000,90.169998
2016-08-30,95.830002,96.260002,91.050003,91.839996,000,91.839996
2016-08-29,94.669998,97.959999,94.669998,96.93,000,96.93
2016-08-26,98.260002,100.230003,94.779999,95.800003,000,95.800003
2016-08-25,94.720001,98.029999,93.870003,96.510002,000,96.510002
2016-08-24,102.349998,102.370003,94.809998,95.339996,000,95.339996
2016-08-23,106.349998,106.639999,103.769997,103.889999,000,103.889999
2016-08-22,105.589996,106.040001,104.709999,105.709999,000,105.709999
2016-08-19,109.190002,109.190002,107.32,107.690002,000,107.690002
2016-08-18,110.089996,110.959999,109.139999,110.720001,000,110.720001
2016-08-17,109.75,110.07,106.599998,109.239998,000,109.239998
2016-08-16,111.959999,112.279999,110.309998,110.830002,000,110.830002
2016-08-15,111.849998,113.040001,111.099998,111.470001,000,111.470001
2016-08-12,113.580002,114.470001,111.309998,111.730003,000,111.730003
2016-08-11,112.800003,114.709999,112.00,112.290001,000,112.290001
2016-08-10,113.080002,114.419998,111.760002,112.730003,000,112.730003
2016-08-09,110.919998,111.910004,110.519997,111.099998,000,111.099998
2016-08-08,109.370003,112.059998,109.220001,110.389999,000,110.389999
2016-08-05,111.43,111.440002,108.300003,109.610001,000,109.610001
2016-08-04,111.800003,113.580002,111.800003,112.830002,000,112.830002
2016-08-03,112.209999,112.379997,110.220001,111.93,000,111.93
2016-08-02,112.620003,114.169998,112.059998,112.860001,000,112.860001
2016-08-01,110.720001,111.769997,109.129997,111.610001,000,111.610001
2016-07-29,108.889999,111.07,108.410004,110.279999,000,110.279999
2016-07-28,108.040001,109.040001,105.870003,107.739998,000,107.739998
2016-07-27,104.220001,108.309998,102.629997,107.589996,000,107.589996
2016-07-26,101.230003,103.639999,99.879997,103.00,000,103.00
2016-07-25,102.739998,102.739998,98.650002,99.889999,000,99.889999
2016-07-22,103.040001,104.309998,102.610001,103.739998,000,103.739998
2016-07-21,101.160004,104.57,101.059998,104.040001,000,104.040001
2016-07-20,104.910004,104.910004,100.099998,100.470001,000,100.470001
2016-07-19,107.970001,108.209999,106.589996,106.800003,000,106.800003
2016-07-18,107.50,108.43,106.760002,108.419998,000,108.419998
2016-07-15,107.260002,108.910004,107.160004,107.730003,000,107.730003
2016-07-14,106.93,108.610001,105.080002,108.410004,000,108.410004
2016-07-13,106.739998,109.139999,106.07,108.459999,000,108.459999
2016-07-12,107.779999,108.610001,105.18,105.209999,000,105.209999
2016-07-11,106.370003,108.889999,106.190002,108.199997,000,108.199997
2016-07-08,104.00,107.50,103.489998,107.190002,000,107.190002
2016-07-07,105.790001,105.82,103.209999,103.839996,000,103.839996
2016-07-06,104.610001,107.239998,104.589996,106.860001,000,106.860001
2016-07-05,103.440002,104.410004,100.730003,103.470001,000,103.470001
2016-07-01,99.410004,102.809998,99.400002,102.50,000,102.50
2016-06-30,96.93,97.779999,95.470001,97.639999,000,97.639999
2016-06-29,94.279999,96.989998,94.279999,95.800003,000,95.800003
2016-06-28,92.910004,94.849998,92.690002,93.269997,000,93.269997
2016-06-27,94.449997,96.220001,91.610001,94.059998,000,94.059998
2016-06-24,91.370003,95.389999,91.360001,93.699997,000,93.699997
2016-06-23,90.309998,91.529999,89.620003,90.43,000,90.43
2016-06-22,89.510002,90.959999,88.32,90.889999,000,90.889999
2016-06-21,90.07,90.080002,88.730003,89.25,000,89.25
2016-06-20,89.339996,91.650002,88.260002,91.019997,000,91.019997
2016-06-17,90.870003,91.989998,89.190002,90.339996,000,90.339996
2016-06-16,93.370003,94.989998,88.889999,89.860001,000,89.860001
2016-06-15,88.57,93.540001,88.57,92.419998,000,92.419998
2016-06-14,90.75,90.860001,87.300003,88.519997,000,88.519997
2016-06-13,91.480003,92.709999,89.410004,90.580002,000,90.580002
2016-06-10,92.639999,94.190002,89.959999,90.389999,000,90.389999
2016-06-09,91.559998,92.50,90.690002,92.339996,000,92.339996
2016-06-08,89.540001,93.690002,89.510002,91.610001,000,91.610001
2016-06-07,88.900002,89.93,88.18,88.629997,000,88.629997
2016-06-06,89.339996,90.110001,87.860001,89.910004,000,89.910004
2016-06-03,82.040001,89.230003,82.040001,89.059998,000,89.059998
2016-06-02,79.800003,81.589996,79.269997,80.650002,000,80.650002
2016-06-01,81.040001,81.760002,79.050003,80.440002,000,80.440002
2016-05-31,79.010002,82.18,78.620003,80.580002,000,80.580002
2016-05-27,81.260002,82.029999,79.07,79.410004,000,79.410004
2016-05-26,83.050003,84.449997,81.470001,82.120003,000,82.120003
2016-05-25,79.519997,82.830002,77.989998,82.230003,000,82.230003
2016-05-24,84.360001,84.389999,80.050003,80.150002,000,80.150002
2016-05-23,84.230003,86.550003,83.029999,85.099998,000,85.099998
2016-05-20,86.150002,86.50,83.129997,85.440002,000,85.440002
2016-05-19,82.550003,85.540001,80.75,85.339996,000,85.339996
2016-05-18,90.150002,90.489998,83.510002,83.68,000,83.68
2016-05-17,88.860001,92.440002,87.989998,90.93,000,90.93
2016-05-16,88.199997,90.839996,88.199997,89.209999,000,89.209999
2016-05-13,86.669998,88.610001,86.349998,86.980003,000,86.980003
2016-05-12,88.50,89.57,85.900002,86.489998,000,86.489998
2016-05-11,86.690002,89.269997,85.260002,88.25,000,88.25
2016-05-10,82.550003,85.919998,81.709999,85.589996,000,85.589996
2016-05-09,87.32,87.349998,82.279999,82.480003,000,82.480003
2016-05-06,86.019997,89.68,85.970001,88.529999,000,88.529999
2016-05-05,84.459999,86.540001,83.690002,85.150002,000,85.150002
2016-05-04,85.970001,87.809998,82.699997,83.269997,000,83.269997
2016-05-03,90.589996,90.800003,86.699997,87.230003,000,87.230003
2016-05-02,93.279999,93.660004,89.669998,90.730003,000,90.730003
2016-04-29,87.699997,92.870003,87.690002,92.849998,000,92.849998
2016-04-28,83.82,87.949997,83.82,86.900002,000,86.900002
2016-04-27,82.349998,83.610001,81.139999,83.43,000,83.43
2016-04-26,80.650002,82.139999,79.18,82.07,000,82.07
2016-04-25,80.910004,81.580002,79.489998,80.160004,000,80.160004
2016-04-22,82.360001,83.660004,79.970001,80.860001,000,80.860001
2016-04-21,82.400002,84.209999,81.449997,82.589996,000,82.589996
2016-04-20,82.980003,85.269997,81.110001,81.519997,000,81.519997
2016-04-19,79.57,83.410004,79.57,82.989998,000,82.989998
2016-04-18,78.459999,78.809998,77.050003,78.43,000,78.43
2016-04-15,76.269997,78.43,75.300003,77.919998,000,77.919998
2016-04-14,78.080002,78.300003,74.809998,75.970001,000,75.970001
2016-04-13,79.330002,80.360001,78.239998,78.43,000,78.43
2016-04-12,79.120003,80.449997,77.919998,79.910004,000,79.910004
2016-04-11,74.529999,78.860001,74.529999,78.629997,000,78.629997
2016-04-08,71.230003,74.519997,71.220001,74.019997,000,74.019997
2016-04-07,70.629997,71.690002,70.620003,71.089996,000,71.089996
2016-04-06,69.029999,69.980003,68.370003,69.879997,000,69.879997
2016-04-05,68.190002,69.760002,67.57,69.610001,000,69.610001
2016-04-04,69.559998,69.57,67.470001,67.629997,000,67.629997
2016-04-01,68.50,69.720001,66.709999,69.720001,000,69.720001
2016-03-31,70.949997,71.339996,69.480003,69.510002,000,69.510002
2016-03-30,70.550003,71.110001,68.720001,70.32,000,70.32
2016-03-29,67.089996,71.220001,66.709999,70.75,000,70.75
2016-03-28,67.82,67.919998,65.93,67.220001,000,67.220001
2016-03-24,66.139999,67.790001,65.449997,67.480003,000,67.480003
2016-03-23,70.029999,70.029999,66.07,66.099998,000,66.099998
2016-03-22,72.089996,72.620003,70.779999,71.32,000,71.32
2016-03-21,70.580002,72.32,70.269997,71.43,000,71.43
2016-03-18,70.970001,72.519997,70.709999,71.18,000,71.18
2016-03-17,72.120003,73.809998,70.699997,70.919998,000,70.919998
2016-03-16,66.129997,71.510002,65.150002,71.389999,000,71.389999
2016-03-15,65.849998,66.839996,64.470001,66.75,000,66.75
2016-03-14,68.720001,69.160004,66.169998,66.370003,000,66.370003
2016-03-11,69.190002,70.120003,67.809998,68.089996,000,68.089996
2016-03-10,67.290001,69.809998,67.019997,69.279999,000,69.279999
2016-03-09,64.550003,67.169998,63.360001,66.599998,000,66.599998
2016-03-08,69.330002,70.029999,65.459999,65.879997,000,65.879997
2016-03-07,67.510002,70.459999,67.510002,68.940002,000,68.940002
2016-03-04,67.339996,70.800003,66.150002,66.75,000,66.75
2016-03-03,64.150002,67.339996,64.040001,66.889999,000,66.889999
2016-03-02,61.860001,64.300003,61.459999,64.019997,000,64.019997
2016-03-01,64.360001,64.620003,61.16,61.610001,000,61.610001
2016-02-29,62.549999,64.029999,62.549999,63.919998,000,63.919998
2016-02-26,63.240002,63.66,61.43,61.900002,000,61.900002
2016-02-25,62.529999,63.709999,62.00,63.529999,000,63.529999
2016-02-24,63.099998,65.059998,62.00,62.889999,000,62.889999
2016-02-23,61.970001,63.189999,61.709999,62.389999,000,62.389999
2016-02-22,59.740002,62.080002,59.369999,61.470001,000,61.470001
2016-02-19,61.209999,62.27,60.380001,60.529999,000,60.529999
2016-02-18,57.970001,61.880001,57.610001,61.549999,000,61.549999
2016-02-17,57.549999,59.360001,57.200001,58.709999,000,58.709999
2016-02-16,60.040001,60.040001,56.669998,57.240002,000,57.240002
2016-02-12,58.009998,60.759998,57.419998,60.639999,000,60.639999
2016-02-11,56.209999,60.130001,56.209999,58.759998,000,58.759998
2016-02-10,53.900002,55.459999,51.849998,55.400002,000,55.400002
2016-02-09,57.099998,57.630001,54.080002,54.34,000,54.34
2016-02-08,55.799999,58.720001,55.779999,56.779999,000,56.779999
2016-02-05,51.939999,55.349998,50.700001,55.299999,000,55.299999
2016-02-04,50.709999,53.669998,50.689999,52.619999,000,52.619999
2016-02-03,46.66,50.07,46.66,50.02,000,50.02
2016-02-02,46.900002,47.130001,45.560001,46.25,000,46.25
2016-02-01,46.459999,47.669998,46.459999,47.360001,000,47.360001
2016-01-29,44.540001,46.040001,44.52,45.959999,000,45.959999
2016-01-28,45.150002,45.68,43.939999,44.709999,000,44.709999
2016-01-27,44.25,45.720001,43.849998,45.66,000,45.66
2016-01-26,42.630001,44.779999,42.630001,44.439999,000,44.439999
2016-01-25,41.25,42.450001,41.23,42.09,000,42.09
2016-01-22,40.240002,41.59,39.889999,40.919998,000,40.919998
2016-01-21,39.740002,40.73,38.970001,40.619999,000,40.619999
2016-01-20,39.52,40.43,38.619999,40.099998,000,40.099998
2016-01-19,41.580002,41.689999,38.360001,38.84,000,38.84
2016-01-15,42.220001,42.59,41.150002,41.419998,000,41.419998
2016-01-14,42.639999,43.02,40.830002,41.52,000,41.52
2016-01-13,42.73,43.720001,42.189999,43.049999,000,43.049999
2016-01-12,44.060001,44.099998,41.84,42.849998,000,42.849998
2016-01-11,47.23,47.540001,43.939999,44.380001,000,44.380001
2016-01-08,47.529999,47.740002,46.349998,47.099998,000,47.099998
2016-01-07,47.310001,48.98,46.919998,48.459999,000,48.459999
2016-01-06,46.669998,47.419998,46.66,46.810001,000,46.810001
2016-01-05,46.599998,46.73,45.779999,46.18,000,46.18
2016-01-04,45.779999,47.110001,45.540001,46.400002,000,46.400002
2015-12-31,45.09,45.490002,44.82,45.299999,000,45.299999
2015-12-30,45.560001,45.57,44.91,45.200001,000,45.200001
2015-12-29,46.43,46.700001,45.599998,46.150002,000,46.150002
2015-12-28,47.23,47.23,45.599998,45.779999,000,45.779999
2015-12-24,47.009998,48.00,47.009998,47.810001,000,47.810001
2015-12-23,45.650002,46.759998,45.650002,46.709999,000,46.709999
2015-12-22,45.130001,46.009998,45.099998,45.360001,000,45.360001
2015-12-21,45.130001,46.040001,45.110001,45.330002,000,45.330002
2015-12-18,43.59,45.400002,43.59,44.540001,000,44.540001
2015-12-17,46.110001,46.110001,43.18,43.209999,000,43.209999
2015-12-16,45.310001,46.91,45.310001,46.700001,000,46.700001
2015-12-15,44.91,45.330002,44.18,44.68,000,44.68
2015-12-14,47.049999,47.110001,44.540001,44.57,000,44.57
2015-12-11,46.830002,48.200001,46.50,47.41,000,47.41
2015-12-10,47.02,48.240002,46.919998,47.369999,000,47.369999
2015-12-09,47.16,48.279999,46.740002,47.209999,000,47.209999
2015-12-08,47.209999,47.299999,45.98,46.470001,000,46.470001
2015-12-07,49.380001,49.380001,46.93,47.299999,000,47.299999
2015-12-04,47.560001,49.959999,47.560001,49.950001,000,49.950001
2015-12-03,46.889999,47.889999,46.639999,47.169998,000,47.169998
2015-12-02,47.060001,47.349998,45.759998,46.540001,000,46.540001
2015-12-01,46.330002,47.77,45.93,47.689999,000,47.689999
2015-11-30,45.169998,46.240002,45.150002,46.150002,000,46.150002
2015-11-27,45.189999,45.48,44.75,44.919998,000,44.919998
2015-11-25,45.610001,46.720001,45.330002,45.959999,000,45.959999
2015-11-24,44.860001,46.360001,44.860001,46.150002,000,46.150002
2015-11-23,44.389999,44.91,44.09,44.419998,000,44.419998
2015-11-20,46.720001,47.080002,44.540001,44.77,000,44.77
2015-11-19,45.900002,46.990002,45.669998,46.52,000,46.52
2015-11-18,43.830002,45.580002,43.349998,45.48,000,45.48
2015-11-17,45.790001,45.799999,43.439999,43.630001,000,43.630001
2015-11-16,45.799999,46.599998,45.799999,46.110001,000,46.110001
2015-11-13,45.009998,45.919998,44.869999,45.560001,000,45.560001
2015-11-12,45.209999,46.419998,44.50,45.23,000,45.23
2015-11-11,45.650002,46.119999,45.240002,45.939999,000,45.939999
2015-11-10,46.290001,46.57,45.599998,45.68,000,45.68
2015-11-09,46.00,47.169998,45.220001,47.049999,000,47.049999
2015-11-06,47.490002,47.490002,45.689999,46.009998,000,46.009998
2015-11-05,50.389999,50.389999,47.91,48.240002,000,48.240002
2015-11-04,52.330002,52.669998,50.360001,50.490002,000,50.490002
2015-11-03,51.380001,52.330002,50.959999,51.849998,000,51.849998
2015-11-02,51.060001,52.400002,50.380001,51.919998,000,51.919998
2015-10-30,52.189999,53.080002,51.450001,51.450001,000,51.450001
2015-10-29,53.709999,54.439999,51.880001,52.25,000,52.25
2015-10-28,55.139999,57.299999,53.209999,54.09,000,54.09
2015-10-27,54.290001,55.259998,53.59,54.57,000,54.57
2015-10-26,56.189999,56.220001,54.540001,54.540001,000,54.540001
2015-10-23,55.27,56.689999,54.349998,56.299999,000,56.299999
2015-10-22,53.630001,55.490002,53.59,54.889999,000,54.889999
2015-10-21,55.16,55.16,53.389999,53.650002,000,53.650002
2015-10-20,53.990002,56.169998,53.939999,55.639999,000,55.639999
2015-10-19,55.700001,56.130001,53.360001,53.59,000,53.59
2015-10-16,57.830002,58.139999,55.970001,56.029999,000,56.029999
2015-10-15,57.32,58.119999,56.389999,57.959999,000,57.959999
2015-10-14,54.790001,57.93,54.790001,57.779999,000,57.779999
2015-10-13,53.830002,55.16,53.240002,54.060001,000,54.060001
2015-10-12,56.720001,57.07,53.43,53.950001,000,53.950001
2015-10-09,54.57,56.259998,54.57,56.040001,000,56.040001
2015-10-08,53.349998,55.91,52.950001,53.650002,000,53.650002
2015-10-07,53.650002,54.490002,52.919998,53.98,000,53.98
2015-10-06,51.889999,54.099998,51.869999,53.380001,000,53.380001
2015-10-05,49.200001,51.369999,49.18,51.279999,000,51.279999
2015-10-02,46.139999,49.049999,46.110001,49.02,000,49.02
2015-10-01,46.759998,47.360001,44.970001,45.200001,000,45.200001
2015-09-30,44.52,46.25,44.32,46.25,000,46.25
2015-09-29,44.900002,45.93,44.619999,44.84,000,44.84
2015-09-28,46.34,46.34,44.540001,44.630001,000,44.630001
2015-09-25,47.279999,47.619999,46.84,47.27,000,47.27
2015-09-24,45.349998,48.009998,45.32,47.889999,000,47.889999
